label,dataset,domain,measure_class,Structure,canonical_structure,Measure,Unit,structure_qualifier,structure_source,is_measurement,note
CerebralCortex_Mass.g,Cell counts,brain structure & size,structure_mass,CerebralCortex,CerebralCortex,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
CerebralCortexGrey_Mass.g,Cell counts,brain structure & size,structure_mass,CerebralCortexGrey,CerebralCortexGrey,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
CerebralCortexWhite_Mass.g,Cell counts,brain structure & size,structure_mass,CerebralCortexWhite,CerebralCortexWhite,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
DiencephalonStriatum_Mass.g,Cell counts,brain structure & size,structure_mass,DiencephalonStriatum,DiencephalonStriatum,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
Hippocampus_Mass.g,Cell counts,brain structure & size,structure_mass,Hippocampus,Hippocampus,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
Medulla_Mass.g,Cell counts,brain structure & size,structure_mass,Medulla,Medulla,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
Mesencephalon_Mass.g,Cell counts,brain structure & size,structure_mass,Mesencephalon,Mesencephalon,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
MesencephalonDiencephalonStriatum_Mass.g,Cell counts,brain structure & size,structure_mass,MesencephalonDiencephalonStriatum,MesencephalonDiencephalonStriatum,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
OlfactoryBulb_Mass.g,Cell counts,brain structure & size,structure_mass,OlfactoryBulb,OlfactoryBulb,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
Pons_Mass.g,Cell counts,brain structure & size,structure_mass,Pons,Pons,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
PonsMedulla_Mass.g,Cell counts,brain structure & size,structure_mass,PonsMedulla,PonsMedulla,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
RoB_Mass.g,Cell counts,brain structure & size,structure_mass,RoB,RoB,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
SpinalCord_Mass.g,Cell counts,brain structure & size,structure_mass,SpinalCord,SpinalCord,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
WholeBrain_Mass.g,Cell counts,brain structure & size,structure_mass,WholeBrain,WholeBrain,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
WholeBrainOlfactoryBulb_Mass.g,Cell counts,brain structure & size,structure_mass,WholeBrainOlfactoryBulb,WholeBrainOlfactoryBulb,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
AccessoryOlfactoryBulb_layer_6_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,AccessoryOlfactoryBulb_layer_6,AccessoryOlfactoryBulb,Vol.mm3,mm3,layer 6,_keys/variable_catalog.csv:Stephan_etal_1982,TRUE,Structure qualifier: layer 6.
AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,AccessoryOlfactoryBulb_layers_1_2,AccessoryOlfactoryBulb,Vol.mm3,mm3,layers 1 2,_keys/variable_catalog.csv:Stephan_etal_1982,TRUE,Structure qualifier: layers 1 2.
AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,AccessoryOlfactoryBulb_layers_3_5,AccessoryOlfactoryBulb,Vol.mm3,mm3,layers 3 5,_keys/variable_catalog.csv:Stephan_etal_1982,TRUE,Structure qualifier: layers 3 5.
AccessoryOlfactoryBulb_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,AccessoryOlfactoryBulb,AccessoryOlfactoryBulb,Vol.mm3,mm3,,_keys/variable_catalog.csv:Stephan_etal_1982,TRUE,
Agranular_insular_cortex_left_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Agranular_insular_cortex_left,Agranular_insular_cortex,Vol.mm3,mm3,left hemisphere,_keys/anatomy_reference.csv,TRUE,Structure qualifier: left hemisphere.
Agranular_insular_cortex_right_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Agranular_insular_cortex_right,Agranular_insular_cortex,Vol.mm3,mm3,right hemisphere,_keys/anatomy_reference.csv,TRUE,Structure qualifier: right hemisphere.
Agranular_insular_cortex_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Agranular_insular_cortex,Agranular_insular_cortex,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Amygdala_accessory_basal_nucleus_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Amygdala_accessory_basal_nucleus,amygdala accessory basal nucleus,Vol.mm3,mm3,,_keys/variable_catalog.csv:Barger_etal_2012,TRUE,
Amygdala_basal_nucleus_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Amygdala_basal_nucleus,amygdala basal nucleus,Vol.mm3,mm3,,_keys/variable_catalog.csv:Barger_etal_2012,TRUE,
Amygdala_basolateral_division_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Amygdala_basolateral_division,BasolateralDivision,Vol.mm3,mm3,,_keys/variable_catalog.csv:Barger_etal_2007,TRUE,
Amygdala_lateral_nucleus_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Amygdala_lateral_nucleus,amygdala lateral nucleus,Vol.mm3,mm3,,_keys/variable_catalog.csv:Barger_etal_2012,TRUE,
Amygdala_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Amygdala,Amygdala,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Amygdala_Vol.mm3,Cell counts,brain structure & size,structure_volume,Amygdala,Amygdala,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Area_10_right_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Area_10_right,Area10,Vol.mm3,mm3,right hemisphere,_keys/variable_catalog.csv:Semendeferi_etal_2001,TRUE,Structure qualifier: right hemisphere.
Area_13_right_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Area_13_right,Area13,Vol.mm3,mm3,right hemisphere,_keys/variable_catalog.csv:Semendeferi_etal_1998,TRUE,Structure qualifier: right hemisphere.
Area_striata_grey_matter_left_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Area_striata_grey_matter_left,Area_striata,Vol.mm3,mm3,grey matter; left hemisphere,_keys/anatomy_reference.csv,TRUE,Structure qualifier: grey matter; left hemisphere.
Area_striata_grey_matter_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Area_striata_grey_matter,Area_striata_grey_matter,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Area_striata_lamina_1_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Area_striata_lamina_1,Area_striata_lamina_1,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Area_striata_laminae_2_6_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Area_striata_laminae_2_6,Area_striata_laminae_2_6,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Area_striata_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Area_striata,Area_striata,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Area_striata_white_matter_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Area_striata_white_matter,Area_striata_white_matter,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Bulbus_olfactorius_accessorius_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Bulbus_olfactorius_accessorius,Bulbus_olfactorius_accessorius,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Bulbus_olfactorius_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Bulbus_olfactorius,Bulbus_olfactorius,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
CA1_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,CA1,CA1,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
CA2_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,CA2,CA2,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
CA3_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,CA3,CA3,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Capsula_interna_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Capsula_interna,Capsula_interna,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Cerebellar_nuclei_total_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Cerebellar_nuclei_total,Cerebellar_nuclei_total,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
CerebellarCortex_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,CerebellarCortex,CerebellarCortex,Vol.mm3,mm3,,_keys/variable_catalog.csv:Ashwell__2020,TRUE,
CerebellarHemisphere_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,CerebellarHemisphere,CerebellarHemisphere,Vol.mm3,mm3,,_keys/variable_catalog.csv:Ashwell__2020,TRUE,
CerebellarVermis_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,CerebellarVermis,CerebellarVermis,Vol.mm3,mm3,,_keys/variable_catalog.csv:Ashwell__2020,TRUE,
Cerebellum_grey_matter_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Cerebellum_grey_matter,Cerebellum,Vol.mm3,mm3,grey matter,_keys/anatomy_reference.csv,TRUE,Structure qualifier: grey matter.
Cerebellum_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Cerebellum,Cerebellum,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Cerebellum_Vol.mm3,Cell counts,brain structure & size,structure_volume,Cerebellum,Cerebellum,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Cerebellum_white_matter_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Cerebellum_white_matter,Cerebellum,Vol.mm3,mm3,white matter,_keys/anatomy_reference.csv,TRUE,Structure qualifier: white matter.
Cerebral_hemispheres_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Cerebral_hemispheres,cerebral hemispheres,Vol.mm3,mm3,,_keys/variable_catalog.csv:Semendeferi_Damasio_2000,TRUE,
Commissura_anterior_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Commissura_anterior,Commissura_anterior,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Complexus_centromedialis_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Complexus_centromedialis,Complexus_centromedialis,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Complexus_corticobasolateralis_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Complexus_corticobasolateralis,Complexus_corticobasolateralis,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Complexus_sensorius_trigeminalis_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Complexus_sensorius_trigeminalis,Complexus_sensorius_trigeminalis,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Complexus_vestibularis_unilateral_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Complexus_vestibularis_unilateral,Complexus_vestibularis,Vol.mm3,mm3,one side only,_keys/anatomy_reference.csv,TRUE,Structure qualifier: one side only.
Complexus_vestibularis_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Complexus_vestibularis,Complexus_vestibularis,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Corpus_geniculatum_laterale_left_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Corpus_geniculatum_laterale_left,Corpus_geniculatum_laterale,Vol.mm3,mm3,left hemisphere,_keys/anatomy_reference.csv,TRUE,Structure qualifier: left hemisphere.
Corpus_geniculatum_laterale_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Corpus_geniculatum_laterale,Corpus_geniculatum_laterale,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Corpus_pineal_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Corpus_pineal,Corpus_pineal,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Corpus_subcommissurale_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Corpus_subcommissurale,Corpus_subcommissurale,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Corpus_subfornicale_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Corpus_subfornicale,Corpus_subfornicale,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Diencephalon_excluding_globus_pallidus_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Diencephalon_excluding_globus_pallidus,Diencephalon excluding globus pallidus,Vol.mm3,mm3,,_keys/variable_catalog.csv:Reep_etal_2007,TRUE,
Diencephalon_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Diencephalon,Diencephalon,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Dysgranular_insular_cortex_left_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Dysgranular_insular_cortex_left,Dysgranular_insular_cortex,Vol.mm3,mm3,left hemisphere,_keys/anatomy_reference.csv,TRUE,Structure qualifier: left hemisphere.
Dysgranular_insular_cortex_right_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Dysgranular_insular_cortex_right,Dysgranular_insular_cortex,Vol.mm3,mm3,right hemisphere,_keys/anatomy_reference.csv,TRUE,Structure qualifier: right hemisphere.
Dysgranular_insular_cortex_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Dysgranular_insular_cortex,Dysgranular_insular_cortex,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
EntorhinalCortex_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,EntorhinalCortex,EntorhinalCortex,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
EntorhinalCortex_Vol.mm3,Cell counts,brain structure & size,structure_volume,EntorhinalCortex,EntorhinalCortex,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Epithalamus_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Epithalamus,Epithalamus,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Facial_motor_nucleus_left_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Facial_motor_nucleus_left,Facial_motor_nucleus,Vol.mm3,mm3,left hemisphere,_keys/variable_catalog.csv:Sherwood_etal_2005,TRUE,Structure qualifier: left hemisphere.
Fascia_dentata_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Fascia_dentata,Fascia_dentata,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
FlocculonodularLobe_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,FlocculonodularLobe,FlocculonodularLobe,Vol.mm3,mm3,,_keys/variable_catalog.csv:Ashwell__2020,TRUE,
FrontalCortex_grey_matter_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,FrontalCortex_grey_matter,FrontalCortex,Vol.mm3,mm3,grey matter,_keys/variable_catalog.csv:Semendeferi_etal_2002,TRUE,Structure qualifier: grey matter.
FrontalCortex_white_matter_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,FrontalCortex_white_matter,FrontalCortex,Vol.mm3,mm3,white matter,_keys/variable_catalog.csv:Semendeferi_etal_2002,TRUE,Structure qualifier: white matter.
fronto_insular_cortex_left_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,fronto_insular_cortex_left,fronto_insular_cortex,Vol.mm3,mm3,left hemisphere,_keys/anatomy_reference.csv,TRUE,Structure qualifier: left hemisphere.
fronto_insular_cortex_right_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,fronto_insular_cortex_right,fronto_insular_cortex,Vol.mm3,mm3,right hemisphere,_keys/anatomy_reference.csv,TRUE,Structure qualifier: right hemisphere.
fronto_insular_cortex_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,fronto_insular_cortex,fronto_insular_cortex,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Granular_insular_cortex_left_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Granular_insular_cortex_left,Granular_insular_cortex,Vol.mm3,mm3,left hemisphere,_keys/anatomy_reference.csv,TRUE,Structure qualifier: left hemisphere.
Granular_insular_cortex_right_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Granular_insular_cortex_right,Granular_insular_cortex,Vol.mm3,mm3,right hemisphere,_keys/anatomy_reference.csv,TRUE,Structure qualifier: right hemisphere.
Granular_insular_cortex_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Granular_insular_cortex,Granular_insular_cortex,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Hilus_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Hilus,Hilus,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Hippocampus_retrocommissuralis_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Hippocampus_retrocommissuralis,Hippocampus_retrocommissuralis,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Hippocampus_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Hippocampus,Hippocampus,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Hippocampus_Vol.mm3,Cell counts,brain structure & size,structure_volume,Hippocampus,Hippocampus,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
HP_HS_fibers_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,HP_HS_fibers,HP_HS_fibers,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Hypoglossal_nucleus_left_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Hypoglossal_nucleus_left,Hypoglossal_nucleus,Vol.mm3,mm3,left hemisphere,_keys/variable_catalog.csv:Sherwood_etal_2005,TRUE,Structure qualifier: left hemisphere.
Hypothalamus_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Hypothalamus,Hypothalamus,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Hypothalamus_Vol.mm3,Cell counts,brain structure & size,structure_volume,Hypothalamus,Hypothalamus,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Insula_left_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Insula_left,Insula,Vol.mm3,mm3,left hemisphere,_keys/anatomy_reference.csv,TRUE,Structure qualifier: left hemisphere.
Insula_right_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Insula_right,Insula,Vol.mm3,mm3,right hemisphere,_keys/anatomy_reference.csv,TRUE,Structure qualifier: right hemisphere.
Insula_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Insula,Insula,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Interpositus_cerebellar_nuclei_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Interpositus_cerebellar_nuclei,Interpositus_cerebellar_nuclei,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Lateral_cerebellar_nuclei_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Lateral_cerebellar_nuclei,Lateral_cerebellar_nuclei,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Lobus_piriformis_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Lobus_piriformis,Lobus_piriformis,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Medial_cerebellar_nuclei_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Medial_cerebellar_nuclei,Medial_cerebellar_nuclei,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Medulla_oblongata_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Medulla_oblongata,Medulla_oblongata,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Medulla_Vol.mm3,Cell counts,brain structure & size,structure_volume,Medulla,Medulla,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Mesencephalon_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Mesencephalon,Mesencephalon,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Middle_temporal_visual_area_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Middle_temporal_visual_area,Middle_temporal_visual_area,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Neocortex_grey_matter_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Neocortex_grey_matter,Neocortex_grey_matter,Vol.mm3,mm3,,_keys/anatomy_reference.csv,TRUE,
Neocortex_lamina_1_Vol.mm3,Brain-structure volumes,brain structure & size,structure_volume,Neocortex_lamina_1,Neocortex,Vol.mm3,mm3,lamina 1,_keys/anatomy_reference.csv,TRUE,Structure qualifier: lamina 1.
